id;departement_code;zip_code;name;gps_lat;gps_lng
31407;78;78770;Villiers-le-Mahieu;48.85524544303798;1.77159316455696
31408;78;78640;Villiers-Saint-Frédéric;48.81972162790699;1.87950558139535
31409;78;78220;Viroflay;48.80202438596492;2.17013684210526
31410;78;78960;Voisins-le-Bretonneux;48.75841355932204;2.04384000000000
35099;91;91150;Abbéville-la-Rivière;48.34096299999999;2.18532400000000
35100;91;91670;Angerville;48.30345747663551;2.00264289719626
35101;91;91470;Angervilliers;48.59106406976743;2.06287139534884
35102;91;91290;Arpajon;48.58958915492958;2.24373633802817
35103;91;91690;Arrancourt;48.33017858823529;2.15465905882353
35104;91;91200;Athis-Mons;48.70978985507246;2.38718840579710
35105;91;91410;Authon-la-Plaine;48.45822517857143;1.95285589285714
35106;91;91830;Auvernaux;48.52839975308639;2.48897296296296
35107;91;91580;Auvers-Saint-Georges;48.48273134751770;2.22659056737589
35108;91;91630;Avrainville;48.55372015873018;2.24702793650794
35109;91;91160;Ballainvilliers;48.67473181818182;2.29232227272727
35110;91;91610;Ballancourt-sur-Essonne;48.52600249999998;2.38681108695652
35111;91;91590;Baulne;48.49285876923079;2.37548823076923
35112;91;91570;Bièvres;48.76111577777778;2.21011911111111
35113;91;91150;Blandy;48.32109927272727;2.25783345454545
35114;91;91720;Boigneville;48.32750718181820;2.37529572727273
35115;91;91150;Bois-Herpin;48.37492283333332;2.24515700000000
35116;91;91690;Boissy-la-Rivière;48.38489903703703;2.16556259259259
35117;91;91590;Boissy-le-Cutté;48.46925919999999;2.28075346666667
35118;91;91870;Boissy-le-Sec;48.48621880000000;2.09180432000000
35119;91;91790;Boissy-sous-Saint-Yon;48.55091187500002;2.21102296875000
35120;91;91070;Bondoufle;48.61447589743590;2.37982871794872
35121;91;91470;Boullay-les-Troux;48.67680472222224;2.05192097222222
35122;91;91850;Bouray-sur-Juine;48.51400421686748;2.29658831325301
35123;91;91800;Boussy-Saint-Antoine;48.69137508474575;2.53664033898305
35124;91;91150;Boutervilliers;48.45404416666666;2.05210736111111
35125;91;91820;Boutigny-sur-Essonne;48.43110729729729;2.39035171171171
35126;91;91880;Bouville;48.43522883435582;2.27708325153374
35127;91;91220;Brétigny-sur-Orge;48.60436718518520;2.29974755555556
35128;91;91650;Breuillet;48.57444844036697;2.16796394495413
35129;91;91650;Breux-Jouy;48.55187095238095;2.16253440476190
35130;91;91150;Brières-les-Scellés;48.46328000000002;2.14633168831169
35131;91;91640;Briis-sous-Forges;48.62717736842107;2.12998557894737
35132;91;91150;Brouy;48.32643342105263;2.29398065789474
35133;91;91800;Brunoy;48.70382642857141;2.50899042857143
35134;91;91680;Bruyères-le-Châtel;48.59355523809524;2.18545469387755
35135;91;91720;Buno-Bonnevaux;48.35822058823531;2.39996838235294
35136;91;91440;Bures-sur-Yvette;48.69129737931034;2.15627372413793
35137;91;91590;Cerny;48.48937522388059;2.31048276119403
35138;91;91780;Chalo-Saint-Mars;48.42009373493978;2.05702114457831
35139;91;91740;Chalou-Moulineux;48.38354318840582;2.02746956521739
35140;91;91730;Chamarande;48.51331940298509;2.22474268656716
35141;91;91750;Champcueil;48.50584250000001;2.44852479166667
35142;91;91160;Champlan;48.70458119402984;2.27765791044776
35143;91;91150;Champmotteux;48.34438746666666;2.31254346666667
35144;91;91410;Chatignonville;48.46946896551726;1.93220931034483
35145;91;91580;Chauffour-lès-Étréchy;48.50533333333333;2.17325347826087
35146;91;91630;Cheptainville;48.54428267857143;2.27462000000000
35147;91;91750;Chevannes;48.53295043478261;2.44201811594203
35148;91;91380;Chilly-Mazarin;48.70419380952382;2.30919492063492
35149;91;91100;Corbeil-Essonnes;48.59955185430459;2.46848913907285
35150;91;91410;Corbreuse;48.50214007812499;1.96276132812500
35151;91;91830;Le Coudray-Montceaux;48.56280823529414;2.49029882352941
35152;91;91490;Courances;48.43971776470588;2.48603247058823
35153;91;91080;Courcouronnes;48.62365298245614;2.40965578947368
35154;91;91720;Courdimanche-sur-Essonne;48.41723690476190;2.36312738095238
35155;91;91680;Courson-Monteloup;48.59798333333334;2.13999315789474
35156;91;91560;Crosne;48.72054125000000;2.46103013888889
35157;91;91490;Dannemois;48.45940857142859;2.46830714285714
35158;91;91590;D'Huison-Longueville;48.45735661290323;2.33128959677419
35159;91;91410;Dourdan;48.53459128099180;1.98707078512397
35160;91;91210;Draveil;48.67974837209303;2.42197209302326
35161;91;91540;Écharcon;48.57352554054053;2.40263797297297
35162;91;91520;Égly;48.57930417721520;2.21937126582278
35163;91;91860;Épinay-sous-Sénart;48.69172418604653;2.52057860465116
35164;91;91360;Épinay-sur-Orge;48.67043637681159;2.32192463768116
35165;91;91660;Estouches;48.31029216216216;2.13598081081081
35166;91;91150;Étampes;48.42446752767525;2.14598468634687
35167;91;91450;Étiolles;48.64600478873240;2.48191464788732
35168;91;91580;Étréchy;48.49450124183005;2.18387627450980
35169;91;91000;Évry;48.62883936507937;2.43909063492063
35170;91;91590;La Ferté-Alais;48.48207158536586;2.36141475609756
35171;91;91700;Fleury-Mérogis;48.63332228070177;2.36923087719298
35172;91;91690;Fontaine-la-Rivière;48.35807476190478;2.15591273809524
35173;91;91640;Fontenay-lès-Briis;48.61267902654868;2.16605371681416
35174;91;91540;Fontenay-le-Vicomte;48.54894441176472;2.39887088235294
35175;91;91410;La Forêt-le-Roi;48.47647333333335;2.04766260869565
35176;91;91150;La Forêt-Sainte-Croix;48.38617000000000;2.22981963636364
35177;91;91470;Forges-les-Bains;48.62272657657657;2.08098027027027
35178;91;91190;Gif-sur-Yvette;48.69728484042555;2.13261079787234
35179;91;91720;Gironville-sur-Essonne;48.36880562962965;2.35458696296296
35180;91;91400;Gometz-la-Ville;48.67866761061948;2.10861389380531
35181;91;91940;Gometz-le-Châtel;48.67781433333333;2.14346500000000
35182;91;91410;Les Granges-le-Roi;48.49880225490195;2.00798117647059
35183;91;91350;Grigny;48.65358200000001;2.38849657142857
35184;91;91630;Guibeville;48.56829477272727;2.27468590909091
35185;91;91590;Guigneville-sur-Essonne;48.46308504854369;2.35994378640777
35186;91;91690;Guillerval;48.36005294736841;2.08082073684210
35187;91;91430;Igny;48.73663467532468;2.22330012987013
35188;91;91760;Itteville;48.51536784431136;2.34749311377246
35189;91;91510;Janville-sur-Juine;48.50218175572519;2.25093480916031
35190;91;91640;Janvry;48.64807514285715;2.15794028571428
35191;91;91260;Juvisy-sur-Orge;48.69226728813559;2.37211881355932
35192;91;91510;Lardy;48.52461872727272;2.26438090909091
35193;91;91630;Leudeville;48.57299285714288;2.32958648351648
35194;91;91310;Leuville-sur-Orge;48.61408791666666;2.27036520833333
35195;91;91470;Limours;48.64583058333332;2.07928375000000
35196;91;91310;Linas;48.62703382716050;2.25404271604938
35197;91;91090;Lisses;48.59461043478263;2.42463086956522
35198;91;91160;Longjumeau;48.69200917525772;2.29953814432990
35199;91;91310;Longpont-sur-Orge;48.63531383838385;2.28859949494949
35200;91;91720;Maisse;48.39865908496733;2.38212071895425
